,SizeRank_x,unemployment_rate_x,MORTGAGE30US_x,Avg Income_x,Prediction,Actual,ZIP
48602,6584,3.4,3.65,72946.7805519054,257723.38020368587,229091.25,22963
17891,2137,4.8,3.98,155303.44450519411,575608.3069186001,606854.0,21042
20326,4498,9.7,3.98,42744.252873563215,109025.54993666902,106793.0417,38464
6369,2494,7.2,4.45,67242.1914631495,186600.9607886644,183343.75,78108
310,10329,6.4,4.45,48111.43572621035,226576.32111919989,259650.0,5363
7624,4072,12.0,4.45,50132.663430055334,166272.96052978133,163500.0,97601
26733,8231,5.4,4.17,55725.19083969466,157304.34433034688,149687.5,17313
36386,8644,4.7,3.85,103180.47337278107,375880.41342463833,383016.2083,11769
21234,7659,9.7,3.98,75961.53846153848,204219.59890249453,198991.6667,48462
17606,6331,9.7,3.98,58313.30128205128,169779.8919517603,163575.0,18436
33820,5011,6.0,4.17,73959.3417231365,221680.50791861032,201464.5833,85747
3669,676,9.5,4.45,61279.9815498155,195058.17195115567,146304.7917,38016
30884,5274,4.8,4.17,84035.67735263702,273457.2246832972,245900.0,49456
3387,3780,8.8,4.45,82292.90317110397,232961.85936795754,223731.25,35173
711,6981,10.8,4.45,50488.63636363637,173153.6847487591,177208.25,8107
24941,8333,11.1,3.98,69840.72022160665,423321.2129275999,433975.0,97530
23402,4617,6.1,3.98,69023.64273204902,207227.36607016763,157342.7083,78410
5754,5729,7.2,4.45,66390.6447534766,203929.2800661895,202879.1667,70611
40379,2858,5.7,3.85,51868.97106109325,135100.48490441122,128947.9167,42003
41685,3804,4.0,3.85,57025.82883577488,133279.53074903868,121979.1667,54911
40535,2365,6.0,3.85,43959.07473309609,101216.68235236993,78495.83333,44004
26697,6362,6.2,4.17,44487.951807228914,106287.05394874334,87620.83333,16508
22598,2889,4.3,3.98,51210.9375,154838.4277028943,138043.75,67846
49864,703,5.4,3.65,159306.1122244489,587380.2144859434,585904.1667,30319
27065,4806,6.1,4.17,57830.4113283884,234524.26333808753,268100.0,20705
51846,7367,4.1,3.65,99557.52212389381,384144.5390884973,392397.25,43064
8222,10245,8.7,3.66,71301.02040816327,236423.13614599864,208533.3333,6375
50237,1353,4.9,3.65,62892.054364871925,243428.77810257138,230835.0,32257
37111,2429,5.4,3.85,51080.246913580246,187598.77437225732,203654.1667,19901
40438,984,3.5,3.85,110498.7684729064,372299.4448031158,365197.6667,43016
14067,7688,6.0,3.66,56069.95884773664,170329.23964022234,148702.0,72745
48405,5992,3.8,3.65,123764.01630988787,441518.76833109476,437736.6667,21409
31063,4050,6.9,4.17,38751.042535446206,111357.62455784717,105511.1111,53225
