,SizeRank,unemployment_rate,MORTGAGE30US,Avg Income,Prediction,Actual
20807,5220,7.6,3.98,33745.91947769315,63008.711051755236,52583.33333
42495,7060,4.6,3.85,80989.58333333331,329337.3814760294,313588.8889
23128,132,6.0,3.98,70163.76663254862,226356.0784349352,223216.6667
52708,1763,4.8,3.65,46313.22364411943,116215.07731199278,96011.66667
39630,1907,6.4,3.85,43095.30237580994,166304.89987750145,161158.3333
56726,1246,5.3,3.65,71603.31793364133,528864.7265770003,588012.0
37882,4925,5.7,3.85,42089.114194236936,129573.78547620469,116435.4167
41845,5751,3.3,3.85,73009.30713547053,322668.9929946786,328314.9
22222,8045,10.3,3.98,44812.25296442689,105939.20860084097,77472.91667
27810,936,4.9,4.17,45675.57974443919,154939.38393269392,159162.375
22631,2965,3.8,3.98,50871.21212121212,157710.21436546973,125395.8333
10674,3309,9.1,3.66,90338.98305084746,429984.14164731995,431320.8333
20525,1046,5.8,3.98,64009.24321201617,254513.0029186673,204128.0417
44994,2974,6.6,3.85,81000.0,595265.6608602145,635138.5833
36967,7828,6.4,3.85,55745.062836624784,201980.833253448,204537.5
14653,15,5.8,3.66,57695.977686435705,190917.08499001045,173948.3333
57654,1602,5.1,3.65,55545.72672836146,234246.7374273831,251580.8333
47181,6688,4.0,3.65,89908.25688073394,446166.45026980236,444116.6667
50185,6242,3.8,3.65,102465.51724137928,556890.4821266002,387221.75
38346,1398,6.9,3.85,41696.69669669669,146354.12129403258,137026.3333
12483,3296,11.0,3.66,44411.057692307695,115334.24211075438,95587.5
12479,2149,10.5,3.66,43110.50477489768,138462.3957925779,138752.5
24332,1215,9.8,3.98,38285.02415458937,243109.30247715506,261604.1667
44663,8175,6.6,3.85,83744.39461883408,425590.5114893546,455350.0
6053,4202,8.1,4.45,85811.0821120257,341871.50516154355,281420.8333
45922,4825,6.8,3.85,70925.66943674977,314337.28748999553,338016.6667
4670,5167,5.7,4.45,49275.38058272003,137492.0975823144,121210.0
18023,7458,4.4,3.98,103663.79310344828,746660.9801645997,829648.75
39176,4367,6.0,3.85,60230.41474654378,242632.39365372667,250298.9583
40732,4473,4.5,3.85,61906.55614167295,167013.966039059,126537.4583
53071,4025,3.2,3.65,59467.963386727686,186900.74465389948,150254.5455
12388,6874,9.2,3.66,55808.246073298425,156143.91083164283,131883.3333
8093,8704,5.8,3.66,61463.00448430493,240126.03021647438,238762.5
51360,6088,4.0,3.65,51805.364511691885,189830.6629765544,172279.1667
46789,8305,6.2,3.65,88201.5306122449,340109.0969146021,303618.5417
22034,8020,9.8,3.98,71833.60927152318,245673.01457570406,190433.3333
55028,823,4.0,3.65,70022.0156555773,310635.729828002,301408.2917
30051,6961,7.0,4.17,45818.181818181816,162479.5706002038,167331.25
31393,3152,4.1,4.17,51673.78917378918,182591.9447188798,170152.0833
21840,8920,2.9,3.98,45184.69656992085,141577.68848371686,137172.9167
22157,787,9.6,3.98,51713.709677419356,197311.1941210197,212761.2917
18058,4885,6.9,3.98,69515.18119490695,292294.4560605066,286778.3333
40538,5767,5.2,3.85,53812.636165577336,156946.6046079195,127514.5417
42269,8051,5.7,3.85,87711.86440677966,298992.5935177977,279056.4583
23520,1554,4.3,3.98,59692.47666117518,218354.66988900214,159375.0
26690,8182,6.2,4.17,56818.181818181816,204700.71806750493,198592.8571
701,9269,10.2,4.45,62249.008428358946,243530.40734703947,211606.25
57280,4162,4.3,3.65,63013.17401960785,514123.83578900166,564998.5
8535,1141,10.1,3.66,61063.34349151066,166121.0255758372,158319.6667
46322,5045,5.5,3.65,41398.98562975486,159909.2008973173,169516.6667
28793,8720,7.1,4.17,37158.4699453552,131817.05071992602,135425.0
11764,8812,9.0,3.66,35085.22727272727,171258.86268237,173266.6667
291,6465,8.9,4.45,46366.976024748656,167562.74749114143,197954.1667
49416,9502,4.5,3.65,47542.134831460666,212556.07057680207,230004.1667
664,5851,10.8,4.45,70507.0041388093,275742.5043837284,245295.8333
24097,348,9.7,3.98,46127.71739130434,136992.47443779974,139066.6667
25039,6046,5.8,3.98,66745.28301886794,330954.98672042484,342008.3333
20572,5549,10.2,3.98,50845.86466165414,144621.68852406062,123941.6667
200,3127,11.6,4.45,51364.96225120111,200852.73597158093,183658.3333
30304,6885,6.4,4.17,57688.05309734512,204025.62113890992,191512.5
28322,457,5.9,4.17,69144.68796433878,278530.5382719665,246625.0
23923,696,6.6,3.98,44798.01829268293,152511.63602785775,149450.0
21613,9996,10.9,3.98,39053.67231638418,121108.81548042619,117342.8571
57296,2564,4.5,3.65,69067.91125541125,377231.68538391945,429200.0
6738,999,6.3,4.45,61086.19726180497,218496.23099504193,214851.625
11467,8012,8.2,3.66,48982.558139534885,165141.68549964923,167545.8333
19715,633,6.6,3.98,49068.44608879493,191622.6088365291,180271.25
48115,7567,3.9,3.65,109348.13753581664,565699.0837479997,516405.875
23292,2460,6.1,3.98,42827.10280373832,113667.82452539323,89091.66667
26388,9353,5.4,4.17,65972.22222222223,275022.65911517094,257891.6667
38843,619,5.0,3.85,60518.68556701031,191121.74379787178,160037.4583
408,6350,8.2,4.45,80021.80467319909,349762.91097498796,369912.5
6778,6106,8.3,4.45,43743.376230128684,149205.88789441367,147891.6667
42461,6831,7.0,3.85,47192.62295081967,125954.35549972956,86801.5
57525,2919,7.0,3.65,49909.81240981241,236563.9926027413,243854.1667
34957,4310,6.9,4.17,49053.37591240876,173735.85520560242,181016.6667
33781,10079,8.3,4.17,55070.75471698113,246597.55330173782,247675.0
29904,4037,6.0,4.17,55637.9472693032,178269.85906900952,150974.9583
52099,8307,4.5,3.65,63389.513108614236,237692.59186946735,200682.0833
13986,6405,6.9,3.66,50018.60119047619,158037.40756746454,150120.8333
4179,4829,7.9,4.45,78569.65061549602,253763.86385089334,206934.5833
33649,8571,5.8,4.17,70945.94594594595,408487.7247078022,440125.0
13542,2550,8.8,3.66,43706.77731673583,97340.79141953906,81395.83333
36418,7406,4.7,3.85,77309.02777777777,415579.14635657315,428068.1667
8521,5715,8.7,3.66,89702.20220220221,509810.5364364023,567616.6667
27920,31,5.8,4.17,54148.32140891579,170900.7007339414,163415.4167
38383,5309,5.5,3.85,50702.24719101124,187196.3273679702,214245.0
32069,3978,7.1,4.17,75087.14175058095,310071.9554678517,317704.5455
26547,2759,6.1,4.17,63515.14108740537,211771.84222913627,140583.7917
47528,1351,5.1,3.65,50998.641304347824,135938.169746004,121233.3333
19763,7294,8.2,3.98,44256.75675675676,145307.34884867966,151320.8333
48683,3951,3.9,3.65,64552.9197080292,245055.56969200337,231089.5833
44542,2481,5.1,3.85,50905.39023020776,209799.0048048994,196870.625
43196,332,3.5,3.85,53092.9866036249,164036.86666539992,160932.0
43961,78,3.7,3.85,39183.74202216997,243984.7731990021,245290.9167
30380,3250,5.1,4.17,45968.019257221466,117920.92295952897,108879.1667
18513,6800,6.0,3.98,53883.13609467456,189871.56256625592,195268.7083
5886,8530,6.3,4.45,50150.1286817272,161637.97511797535,145010.4167
